model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,3,0.17043075324497486,0.185821071267128
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,4,0.1789267801030158,0.1968148946762085
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,5,0.14357100818525761,0.17943213880062103
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Cls,EucCls,6,0.29185151757805367,0.36808642745018005
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,0,0.6702215525951227,0.6788780689239502
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,1,0.677303410774296,0.6818092465400696
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,2,0.6822922442075751,0.6840059161186218
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,3,0.6947351566459183,0.6960349678993225
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,4,0.7123897058203941,0.714151918888092
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,5,0.7340608593161797,0.7380431294441223
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Avg,EucAvg,6,0.7784914654600281,0.7806646823883057
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,0,0.3813578333772294,0.3956562578678131
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,1,0.3432027809045793,0.3591499924659729
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,2,0.3365331871008756,0.34861499071121216
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,3,0.34438380324887213,0.35089021921157837
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,4,0.35499805462263806,0.3632065951824188
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,5,0.40132016663811515,0.4133344292640686
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,Sum,EucSum,6,0.6634343637493101,0.6643425226211548
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,0,0.45249664714278093,0.45007771253585815
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,1,0.42578251009087525,0.4292517900466919
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,2,0.3999048545126625,0.4025822877883911
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,3,0.40559879053177494,0.40346667170524597
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,4,0.4401936330359932,0.4367409646511078
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,5,0.5271045880331918,0.51766037940979
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_ind,EucF_ind,6,0.7810006215414769,0.7787016034126282
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,0,0.4733962460756047,0.4645299017429352
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,1,0.47476313248059565,0.462332546710968
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,2,0.4446745820118057,0.4315605163574219
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,3,0.44851477773812004,0.43237876892089844
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,4,0.5145658052205504,0.4951936900615692
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,5,0.5789779417721431,0.5678953528404236
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_joint,EucF_joint,6,0.7662165214370544,0.762024462223053
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,0,0.45216021185215144,0.44789716601371765
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,1,0.4163686886856337,0.41689395904541016
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,2,0.3809428087415097,0.38261985778808594
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,3,0.38379214646868104,0.3820815086364746
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,4,0.4245954584538702,0.4216921925544739
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,5,0.5240833612798316,0.5132516622543335
sentence-transformers-all-MiniLM-L6-v2,Transformer,Euc,F_inf,EucF_inf,6,0.7580749883387361,0.7548090219497681
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,0,0.1839264091653851,0.1402672380208969
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,1,0.15621819658676883,0.1600283831357956
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,2,0.16068874841415814,0.17747479677200317
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,3,0.1660022594343918,0.16657713055610657
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,4,0.18522253178172174,0.18572309613227844
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,5,0.21869656830255732,0.205254465341568
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Cls,IcmCls,6,0.3261146143125984,0.4492671489715576
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,0,0.3939611538611617,0.3888757526874542
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,1,0.3613076110211109,0.348995178937912
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,2,0.30593405918683914,0.2975330352783203
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,3,0.2573463585594163,0.27063411474227905
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,4,0.3219650389159531,0.3224121034145355
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,5,0.4673595854610133,0.4885016679763794
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Avg,IcmAvg,6,0.6510789012086431,0.669499933719635
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,0,0.24546821374602126,0.2685798704624176
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,1,0.2007371531980149,0.15162360668182373
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,2,0.1994854339016101,0.14119653403759003
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,3,0.20972382864242167,0.15258383750915527
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,4,0.2057862711128037,0.15528932213783264
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,5,0.1773662679856318,0.1493021696805954
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,Sum,IcmSum,6,0.546760627548841,0.6453964114189148
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,F_ind,IcmF_ind,0,0.3359400582208678,0.35908859968185425
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,F_ind,IcmF_ind,1,0.22745516065668256,0.19927118718624115
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,F_ind,IcmF_ind,2,0.21901801636767107,0.18694047629833221
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,F_ind,IcmF_ind,3,0.2548642032304251,0.23718379437923431
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,F_ind,IcmF_ind,4,0.2760055731721515,0.27309051156044006
sentence-transformers-all-MiniLM-L6-v2,Transformer,Icm,F_ind,IcmF_ind,5,0.291921247028781,0.288505494594574
