model,type,composition,similarity,compsim,layer,pearsoncor,spearman
roberta-base,Transformer,Cos,F_joint,CosF_joint,9,0.36234205383938506,0.41337746381759644
roberta-base,Transformer,Cos,F_joint,CosF_joint,10,0.343688601505135,0.39735108613967896
roberta-base,Transformer,Cos,F_joint,CosF_joint,11,0.3698201917156822,0.4028276801109314
roberta-base,Transformer,Cos,F_joint,CosF_joint,12,0.3927040471434882,0.42150112986564636
roberta-base,Transformer,Cos,F_inf,CosF_inf,0,0.4826379168945415,0.4954972565174103
roberta-base,Transformer,Cos,F_inf,CosF_inf,1,0.3829863953080977,0.39941534399986267
roberta-base,Transformer,Cos,F_inf,CosF_inf,2,0.3294054489764707,0.34766116738319397
roberta-base,Transformer,Cos,F_inf,CosF_inf,3,0.3499251790509876,0.3682553470134735
roberta-base,Transformer,Cos,F_inf,CosF_inf,4,0.3530992010030074,0.3730420172214508
roberta-base,Transformer,Cos,F_inf,CosF_inf,5,0.3478749710462802,0.3705032467842102
roberta-base,Transformer,Cos,F_inf,CosF_inf,6,0.3548126769055022,0.37502506375312805
roberta-base,Transformer,Cos,F_inf,CosF_inf,7,0.40890299386796153,0.4217449426651001
roberta-base,Transformer,Cos,F_inf,CosF_inf,8,0.4019944614784303,0.4163968861103058
roberta-base,Transformer,Cos,F_inf,CosF_inf,9,0.3961792037872516,0.41075459122657776
roberta-base,Transformer,Cos,F_inf,CosF_inf,10,0.3708368336344677,0.39468348026275635
roberta-base,Transformer,Cos,F_inf,CosF_inf,11,0.38116352083962124,0.4026210308074951
roberta-base,Transformer,Cos,F_inf,CosF_inf,12,0.40207298456796126,0.42207175493240356
roberta-base,Transformer,Euc,Cls,EucCls,0,0.10928923172223891,0.07474731653928757
roberta-base,Transformer,Euc,Cls,EucCls,1,0.13123604796021499,0.15312767028808594
roberta-base,Transformer,Euc,Cls,EucCls,2,0.14194982467630698,0.14726726710796356
roberta-base,Transformer,Euc,Cls,EucCls,3,0.16504795907165853,0.17687459290027618
roberta-base,Transformer,Euc,Cls,EucCls,4,0.17702844958392125,0.18686166405677795
roberta-base,Transformer,Euc,Cls,EucCls,5,0.1808861113423982,0.18970859050750732
roberta-base,Transformer,Euc,Cls,EucCls,6,0.1873197801526795,0.1935214400291443
roberta-base,Transformer,Euc,Cls,EucCls,7,0.18930443464096766,0.19400790333747864
roberta-base,Transformer,Euc,Cls,EucCls,8,0.19765903812810848,0.2023269534111023
roberta-base,Transformer,Euc,Cls,EucCls,9,0.2000250930409562,0.2052759975194931
roberta-base,Transformer,Euc,Cls,EucCls,10,0.21084258088140087,0.2205723226070404
roberta-base,Transformer,Euc,Cls,EucCls,11,0.21619708441330934,0.22672836482524872
roberta-base,Transformer,Euc,Cls,EucCls,12,0.20697511252959344,0.22023659944534302
roberta-base,Transformer,Euc,Avg,EucAvg,0,0.6107640906958798,0.6149648427963257
roberta-base,Transformer,Euc,Avg,EucAvg,1,0.6266847764734031,0.6342871785163879
roberta-base,Transformer,Euc,Avg,EucAvg,2,0.6329963725844435,0.6403687596321106
roberta-base,Transformer,Euc,Avg,EucAvg,3,0.6582470367261161,0.6636962890625
roberta-base,Transformer,Euc,Avg,EucAvg,4,0.652043598397604,0.6574565172195435
roberta-base,Transformer,Euc,Avg,EucAvg,5,0.642341319091123,0.6479361057281494
roberta-base,Transformer,Euc,Avg,EucAvg,6,0.6311538563541149,0.6364656686782837
roberta-base,Transformer,Euc,Avg,EucAvg,7,0.6627307654894055,0.6689419150352478
roberta-base,Transformer,Euc,Avg,EucAvg,8,0.657515841465097,0.6622481346130371
roberta-base,Transformer,Euc,Avg,EucAvg,9,0.6568375986567706,0.6631607413291931
roberta-base,Transformer,Euc,Avg,EucAvg,10,0.6499586583211902,0.6556656360626221
roberta-base,Transformer,Euc,Avg,EucAvg,11,0.6590142318352765,0.6661577820777893
roberta-base,Transformer,Euc,Avg,EucAvg,12,0.6287451789015095,0.635796844959259
roberta-base,Transformer,Euc,Sum,EucSum,0,0.29356145865367156,0.313435435295105
roberta-base,Transformer,Euc,Sum,EucSum,1,0.21690801115654373,0.25163400173187256
roberta-base,Transformer,Euc,Sum,EucSum,2,0.16331670112790994,0.204847514629364
roberta-base,Transformer,Euc,Sum,EucSum,3,0.16690224405340473,0.20868004858493805
roberta-base,Transformer,Euc,Sum,EucSum,4,0.1691863205020637,0.20837369561195374
roberta-base,Transformer,Euc,Sum,EucSum,5,0.1678878678081061,0.20468966662883759
roberta-base,Transformer,Euc,Sum,EucSum,6,0.16384792987626604,0.19817236065864563
roberta-base,Transformer,Euc,Sum,EucSum,7,0.16588427162725064,0.20561397075653076
roberta-base,Transformer,Euc,Sum,EucSum,8,0.1722219008013583,0.20990507304668427
roberta-base,Transformer,Euc,Sum,EucSum,9,0.1794705097998778,0.21548956632614136
roberta-base,Transformer,Euc,Sum,EucSum,10,0.17346518764301644,0.20985765755176544
roberta-base,Transformer,Euc,Sum,EucSum,11,0.17239791106558705,0.21149805188179016
roberta-base,Transformer,Euc,Sum,EucSum,12,0.14912159118807647,0.18759846687316895
roberta-base,Transformer,Euc,F_ind,EucF_ind,0,0.36284064344284156,0.3621220588684082
roberta-base,Transformer,Euc,F_ind,EucF_ind,1,0.3283989192953936,0.32893994450569153
roberta-base,Transformer,Euc,F_ind,EucF_ind,2,0.2872745194433661,0.2937382161617279
roberta-base,Transformer,Euc,F_ind,EucF_ind,3,0.29631795065166205,0.30301719903945923
roberta-base,Transformer,Euc,F_ind,EucF_ind,4,0.2955112592419301,0.3026180565357208
roberta-base,Transformer,Euc,F_ind,EucF_ind,5,0.29227051762114836,0.30005958676338196
roberta-base,Transformer,Euc,F_ind,EucF_ind,6,0.2849720361881179,0.2944824695587158
roberta-base,Transformer,Euc,F_ind,EucF_ind,7,0.3108370962476786,0.3194197416305542
roberta-base,Transformer,Euc,F_ind,EucF_ind,8,0.3111164228394536,0.31843116879463196
roberta-base,Transformer,Euc,F_ind,EucF_ind,9,0.3155020873083717,0.3223836123943329
roberta-base,Transformer,Euc,F_ind,EucF_ind,10,0.3032167618212837,0.31186801195144653
roberta-base,Transformer,Euc,F_ind,EucF_ind,11,0.30640597574734035,0.31613409519195557
roberta-base,Transformer,Euc,F_ind,EucF_ind,12,0.282816159715806,0.2948092818260193
roberta-base,Transformer,Euc,F_joint,EucF_joint,0,0.35015472160682337,0.326106458902359
roberta-base,Transformer,Euc,F_joint,EucF_joint,1,0.305533808436417,0.2845313847064972
roberta-base,Transformer,Euc,F_joint,EucF_joint,2,0.30716345910698395,0.2855735719203949
roberta-base,Transformer,Euc,F_joint,EucF_joint,3,0.34050419249449004,0.32673758268356323
roberta-base,Transformer,Euc,F_joint,EucF_joint,4,0.3566108365873309,0.3501487672328949
roberta-base,Transformer,Euc,F_joint,EucF_joint,5,0.3505556561915299,0.35289353132247925
roberta-base,Transformer,Euc,F_joint,EucF_joint,6,0.3628152583652007,0.3620374798774719
roberta-base,Transformer,Euc,F_joint,EucF_joint,7,0.4168730445024366,0.41525211930274963
roberta-base,Transformer,Euc,F_joint,EucF_joint,8,0.4079821336104645,0.41247835755348206
roberta-base,Transformer,Euc,F_joint,EucF_joint,9,0.40133011904520804,0.40319719910621643
roberta-base,Transformer,Euc,F_joint,EucF_joint,10,0.3851200080377771,0.38886749744415283
roberta-base,Transformer,Euc,F_joint,EucF_joint,11,0.3990271469340464,0.3910793960094452
roberta-base,Transformer,Euc,F_joint,EucF_joint,12,0.3931187508596539,0.3924526870250702
roberta-base,Transformer,Euc,F_inf,EucF_inf,0,0.337604359409246,0.3305583894252777
roberta-base,Transformer,Euc,F_inf,EucF_inf,1,0.27689873061265313,0.2693145275115967
roberta-base,Transformer,Euc,F_inf,EucF_inf,2,0.24594457187568536,0.2421102225780487
