model,type,composition,similarity,compsim,layer,pearsoncor,spearman
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,0,0.5854251607724592,0.5966522693634033
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,1,0.5403518949638308,0.5389509201049805
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,2,0.5093837488422944,0.5064238905906677
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,3,0.4644772322347976,0.46342697739601135
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,4,0.48950252637151237,0.48651254177093506
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,5,0.546054190137273,0.5400199890136719
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,6,0.6152564174961437,0.6103242635726929
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,7,0.5290987661167149,0.5242531299591064
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,8,0.5036341843113357,0.5012770295143127
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,9,0.44890257138120354,0.4507717490196228
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,10,0.4310013751915848,0.4349440932273865
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,11,0.41426647988413756,0.41988885402679443
w601sxs-b1ade-embed,Transformer,Cos,F_joint,CosF_joint,12,0.41593744736381605,0.41998812556266785
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,0,0.6056657428576949,0.6209025382995605
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,1,0.6074242585920578,0.613601803779602
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,2,0.5944961557780005,0.5990002751350403
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,3,0.5559160579563694,0.5594364404678345
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,4,0.5768445388806173,0.5787621736526489
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,5,0.6191483320667057,0.6203088164329529
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,6,0.6638257737387941,0.6607183218002319
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,7,0.5972387410199933,0.6001086831092834
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,8,0.5809382296383315,0.5860985517501831
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,9,0.5369155291600946,0.5430008769035339
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,10,0.5195446957866943,0.5258805155754089
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,11,0.5001852299186982,0.5054131150245667
w601sxs-b1ade-embed,Transformer,Cos,F_inf,CosF_inf,12,0.499164331417998,0.5025604963302612
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,0,0.1230673831955465,0.08726878464221954
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,1,0.13172185175624926,0.15155033767223358
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,2,0.1290437529970316,0.15750952064990997
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,3,0.12200923765145034,0.14534634351730347
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,4,0.13070938980560806,0.14652909338474274
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,5,0.13518446109281151,0.1546066403388977
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,6,0.14432357428707332,0.16531716287136078
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,7,0.14679299813839206,0.16736021637916565
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,8,0.13696941689529893,0.16119009256362915
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,9,0.13369572967523974,0.15624038875102997
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,10,0.13491028009743072,0.15111875534057617
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,11,0.13948220261521133,0.15240170061588287
w601sxs-b1ade-embed,Transformer,Euc,Cls,EucCls,12,0.14028960538781626,0.1481589525938034
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,0,0.6345534451526806,0.6441690325737
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,1,0.6859208937096964,0.6934434175491333
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,2,0.701672593790497,0.7093663215637207
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,3,0.6926892723757279,0.7011660933494568
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,4,0.6899439351193153,0.6983916759490967
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,5,0.7002375454426496,0.7081584930419922
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,6,0.7048848838833102,0.7111638188362122
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,7,0.6898941185658329,0.6948269009590149
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,8,0.6932799344472942,0.7024208903312683
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,9,0.6920739995336115,0.7030043601989746
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,10,0.6862889301416041,0.6971798539161682
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,11,0.6763458165469204,0.6831368803977966
w601sxs-b1ade-embed,Transformer,Euc,Avg,EucAvg,12,0.6711144506281568,0.6760967969894409
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,0,0.35522668875837177,0.3718095123767853
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,1,0.3382442770409543,0.35890787839889526
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,2,0.3202443422361692,0.3439822196960449
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,3,0.2919140871706596,0.3233601152896881
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,4,0.3066111964480655,0.3318464457988739
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,5,0.3320270828650753,0.35079431533813477
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,6,0.36160882070760697,0.3732856214046478
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,7,0.32501062175626366,0.3409152328968048
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,8,0.3213603095176672,0.3427765965461731
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,9,0.2937900969581375,0.3230273127555847
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,10,0.27380280214822966,0.307182639837265
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,11,0.250155664231248,0.28308653831481934
w601sxs-b1ade-embed,Transformer,Euc,Sum,EucSum,12,0.24216796312811456,0.27359455823898315
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,0,0.4362362016384799,0.4350164532661438
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,1,0.44378378720438094,0.43916022777557373
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,2,0.4300949662850516,0.4253354072570801
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,3,0.4049311289781189,0.4025128185749054
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,4,0.405191367728599,0.40415158867836
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,5,0.4234010742808868,0.4217950403690338
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,6,0.44546911554445995,0.4414365291595459
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,7,0.41553372706753977,0.4124259352684021
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,8,0.41804742597310757,0.41634348034858704
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,9,0.40591020645292175,0.4042879045009613
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,10,0.3940577740068394,0.3926905691623688
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,11,0.3816489592005813,0.37983521819114685
w601sxs-b1ade-embed,Transformer,Euc,F_ind,EucF_ind,12,0.3751726726784529,0.3737873136997223
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,0,0.43711027564994925,0.42555826902389526
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,1,0.43200240115945887,0.4126172363758087
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,2,0.41654806871372957,0.39794012904167175
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,3,0.3900652662224727,0.37268438935279846
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,4,0.40290901464242074,0.3858838677406311
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,5,0.4341145116103794,0.41619348526000977
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,6,0.46703331771195594,0.4521082937717438
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,7,0.42543489003306667,0.4033767580986023
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,8,0.41256866249055824,0.3900069296360016
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,9,0.38707431437901413,0.36419394612312317
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,10,0.386596815448146,0.3628866970539093
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,11,0.3861749739627434,0.36125195026397705
w601sxs-b1ade-embed,Transformer,Euc,F_joint,EucF_joint,12,0.39334907680781006,0.3672574460506439
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,0,0.4291974516404197,0.4251151978969574
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,1,0.41301925824701813,0.40264955163002014
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,2,0.39147877300129486,0.3818639814853668
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,3,0.35987123166088564,0.3526289463043213
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,4,0.36726810020635947,0.3630446791648865
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,5,0.3932398146675138,0.38897162675857544
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,6,0.4252807418396187,0.41920843720436096
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,7,0.3830450111198904,0.37847304344177246
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,8,0.3775214302469442,0.37390196323394775
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,9,0.3556057263490906,0.3508714437484741
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,10,0.3442834227233091,0.3398630917072296
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,11,0.33788603432678377,0.3321674168109894
w601sxs-b1ade-embed,Transformer,Euc,F_inf,EucF_inf,12,0.3363641302761678,0.33183497190475464
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,0,0.17585982044412315,0.14056523144245148
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,1,0.1802688979861581,0.14000661671161652
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,2,0.18828000066045636,0.15139108896255493
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,3,0.18664128279328715,0.14341038465499878
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,4,0.19419885210297558,0.1502697616815567
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,5,0.19054763862837787,0.14909042418003082
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,6,0.1896526784908354,0.15899500250816345
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,7,0.16587709453758168,0.1487761288881302
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,8,0.17970163569551464,0.15019537508487701
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,9,0.1779021749145414,0.15450254082679749
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,10,0.17600953684613907,0.14908818900585175
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,11,0.16601411033836588,0.15033243596553802
