model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,8,0.6704780304411591,0.6740387678146362
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,9,0.6804748060874487,0.6852595210075378
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,10,0.7682966319958232,0.7641720175743103
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,11,0.8281075146510678,0.8261517882347107
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_ind,CosF_ind,12,0.8783742160862675,0.8756885528564453
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,0,0.7365969126428407,0.7348380088806152
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,1,0.6739503878373824,0.6743663549423218
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,2,0.608973830457058,0.6060692667961121
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,3,0.5872872028666247,0.5828719735145569
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,4,0.57189543347472,0.566787838935852
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,5,0.5674958438864988,0.56320720911026
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,6,0.5641257781453951,0.5597477555274963
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,7,0.5654334057822658,0.5624828338623047
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,8,0.5887305466965234,0.5839290618896484
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,9,0.6037797285405004,0.5979805588722229
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,10,0.6726298067633978,0.6679198145866394
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,11,0.7467276528061174,0.738533616065979
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_joint,CosF_joint,12,0.8758855823063982,0.8711031079292297
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,0,0.7379941211076825,0.7364656329154968
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,1,0.6873667281620276,0.6893831491470337
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,2,0.6294337552475588,0.6307404041290283
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,3,0.6177198454488978,0.6174836754798889
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,4,0.6091025699160978,0.6076827049255371
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,5,0.6112207998701136,0.6106048226356506
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,6,0.6098981843651956,0.6101028323173523
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,7,0.6182483797544586,0.6194987297058105
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,8,0.6461951445977898,0.6454598307609558
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,9,0.6575277453509635,0.6560268402099609
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,10,0.7356812843650693,0.7303439974784851
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,11,0.8001915543419306,0.7907028198242188
sentence-transformers-all-mpnet-base-v2,Transformer,Cos,F_inf,CosF_inf,12,0.8756612611395822,0.8714492917060852
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,0,0.12203530347748752,0.08589067310094833
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,1,0.13974096875532413,0.15582865476608276
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,2,0.1556625039354729,0.1657528132200241
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,3,0.17011257875710104,0.18108642101287842
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,4,0.16533741199850394,0.17396357655525208
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,5,0.1713152528873927,0.18449075520038605
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,6,0.20442327185613268,0.22637975215911865
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,7,0.21336708960672426,0.22673778235912323
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,8,0.21699065362225814,0.2271735817193985
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,9,0.24735951373810017,0.2535484731197357
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,10,0.3284715242213697,0.30084237456321716
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,11,0.43354185599402245,0.41019946336746216
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Cls,EucCls,12,0.7132733037866474,0.7233843207359314
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,0,0.6673146783350529,0.6800150871276855
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,1,0.6745759664614333,0.6836843490600586
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,2,0.6857101016615651,0.6915664076805115
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,3,0.6883247142537314,0.6895987391471863
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,4,0.6993693064659661,0.6993510723114014
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,5,0.7033814133340195,0.7028304934501648
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,6,0.6952837859600822,0.6958412528038025
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,7,0.6787936894254222,0.680474042892456
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,8,0.6917270621648096,0.695099949836731
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,9,0.6889373213065652,0.6953153610229492
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,10,0.7503917578520252,0.7568759322166443
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,11,0.8362506596664715,0.8377847671508789
